judul,penyanyi,tahun_rilis,label,genre,lirik,link
Berkat Tuhan Mari Hitunglah,Herlin Pirena,2013,Maranatha Indonesia,Hymne,(1) Bila topan kras melanda hidupmu bila putus asa dan letih lesu Berkat Tuhan satu - satu hitunglah kau niscaya kagum oleh kasihNya (2) berkat Tuhan mari hitunglah kau kan kagum oleh kasihNya berkat Tuhan mari hitunglah kau niscaya kagum oleh kasihNya (3) Bila kau memandang harta orang lain ingat janji Kristus yang lebih permai hitunglah berkat yang tidak terbeli milikmu disorga tiada terperi (4) Dalam pergumulanmu didunia janganlah kuatir ada Tuhanmu hitunglah berkat sepanjang hidupmu yakinlah malaikat menyertaimu,https://www.youtube.com/watch?v=SMMUtX3n7ZU 
Bila Duka Menerpa - Pop Rohani KK 637 - Live,"IGNITE GKI, GKI Pengampon",2024,Ignite GKI,Pop,"(VERSE 1) Bila duka menerpa, janganlah kau sedih. Cari Yesus Tuhanmu selalu. Tak ‘kan dibiarkan-Nya hidupmu sendiri, kasih Yesus s’lalu besertamu. (CHORUS) Yesus pasti memberi kedamaian yang penuh. Dia Batu Karang yang teguh, Yesus pasti memberi kedamaian yang penuh. Dia Batu Karang yang teguh. (VERSE 2) Hidupmu bagaikan daun, segera ‘kan layu. Demikian hidup manusia. Firman Tuhan yang kekal diberi padamu; peganglah dengan teguh s’lamanya. (VERSE 3) Aku datang bertelut di depanmu, Tuhan, kuserahkan diriku pada-Mu. Penghiburan yang Kau b’ri meneguhkan iman. Kini jiwaku tent’ram serta-Mu. (ENDING) Kini jiwaku tent’ram serta-Mu. Kini jiwaku tent’ram serta-Mu.",https://www.youtube.com/watch?v=ylOOvqFikYc 
Dalam Tangan Tuhan,Vionita Sihombing,2025,Mighty Music,Kontemporer,Kasih Tuhan Tak pernah berubah Kekal selamanya Di s'panjang hidupku. Tangan Tuhan tak pernah terlambat Untuk Menolongku Disaat ku tak berdaya Engkaulah harapanku Tuhan yang kuandalkan KepadaMu aku percaya. Dalam tangan Tuhan Ada Kuasa sanggup berikan Kekuatan untukku. Di dalam Tangan Tuhan Mujizat kan menjadi nyata Aku Percaya Aku Percaya Tuhan.,https://www.youtube.com/watch?v=hHasHxuYcuk 
Kasih Yang Mempersatukan,William Sutejo,2021,Impact Music,Pop,"(1) Hari ini kurasa Bahagia Berkumpul bersama saudara semua Tuhan Yesus t'lah satukan kita Tanpa memandang diantara kita  (2) Bergandengan tangan dalam kasih Dengan satu hati Berjalan dalam terang kasih Tuhan Kau sahabatku, kau saudara ku Tiada yang dapat memisahkan kita",https://www.youtube.com/watch?v=HrAmwf4YEaA 
Ku Tahu Bapa Peliharaku,Herlin Pirena,2010,Maranatha Indonesia,Pujian dan Penyembahan,Ku tahu Bapa p'liharaku Dia baik Dia baik ku yakin Dia s'lalu sertaku Dia baik bagiku. Lewat badai cobaan Semuanya mendatangkan kebaikan ku tahu Bapa p'liharaku Dia baik bagiku. Ku tahu Bapa p'liharaku Dia baik bagiku.. Dia baik... Dia baik,https://www.youtube.com/watch?v=-nmWAbBBJG4 
Jejak-Mu Tuhan,Letjie Sampingan,2008,Maranatha Indonesia,Rohani,(1) Seringku tak mengerti jalan - jalanMu Tuhan bagai di belantara yang kelam (2) Tanpa seribu tanya namun tetap percaya jejakMu Tuhan sungguh sempurna (3) Ajarku memahami semua yang Kau ingini agar hidupku puaskan hatiMu (4) BagiMu aku rela sepenuh hati menghamba serahkan diri genapi karyaMu,https://www.youtube.com/watch?v=HX0WUMhJblw 
Hatiku Percaya,Talita Doodoh,2018,Maranatha Indonesia,Pop Ballad,(1) Saat ku tak melihat jalanMu Saat ku tak mengerti rencanaMu Namun tetap kupegang janjiMu Pengharapanku hanya padaMu (2) Hatiku percaya Hatiku percaya Hatiku percaya S'lalu kupercaya,https://www.youtube.com/watch?v=886AoevSCT0 
Kau Rangkai Air Mataku,Gloria Trio,2011,Maranatha Indonesia,Gospel,"(1) Kau rangkai air mataku jadi permata Kau ubah kabut hitamku menjadi sut'ra (2) Kepahitan, kesukaran Kau ubah jadi bintang - bintang Kau rangkai air mata jadi permata (3) Betapa beda jalanMu dari jalanku seperti langit dan bumi jaraknya (4) Tak pernah ku punya teman setia seperti Tuhan Kau rangkai air mata jadi permata. Yesus oh Yesus Yesus oh Yesus", https://www.youtube.com/watch?v=ApTLqufH8WQ
Nama Yesus Termulia - Pop Rohani KK 751 - Live,"IGNITE GKI, Ngagel Youth Community",2024,Ignite GKI,Pop,"(1) Nama Yesus termulia di atas segala nama, agar di dalam nama-Nya semuanya menyembah. (2) Yang di bumi dan di sorga tekuk lutut memuliakan. S’gala lidah pun berkata: Yesus Kristus itu Tuhan. (3) Terpuji nama-Nya, terpuji nama-Nya,sembah dan pujilah Raja alam semesta. (4) Yang di bumi dan di sorga tekuk lutut memuliakan. S’gala lidah pun berkata: Yesus Kristus itu Tuhan. (5) Masih banyak manusia yang tak mengenal nama-Mu, suruh hamba yang setia kerja dan bertekun. (6) Tuhan, pakailah diriku menyebarkan kes’lamatan. Kata dan perbuatanku mencerminkan firman Tuhan. (7)Terpuji nama-Nya, terpuji nama-Nya, sembah dan pujilah Raja alam semesta. (8) Yang di bumi dan di sorga tekuk lutut memuliakan. S’gala lidah pun berkata: Yesus Kristus itu Tuhan. S’gala lidah pun berkata: Yesus Kristus itu Tuhan.",https://www.youtube.com/watch?v=NuIOsDfPiwA 
Segala Kuasa,Yehuda Singers,2009,Maranatha,Pujian dan Penyembahan,"S’gala kuasa ada di tangan Tuhan S’gala hikmat, pujian, dan hormat Bagi Raja kami, sembahlah nama-Nya Yesus, Kau Raja kami",https://www.youtube.com/watch?v=-g1-60HtHhY 
Pada Kaki SalibMu,Herlin Pirena,2001,Maranatha Indonesia,Pop,"(1) Pada kaki salibMu, Yesus, ku berlindung, Air hayat Golgota pancaran yang agung. (2) SalibMu, salibMu yang ku muliakan Hingga dalam sorga k'lak ada perhentian. (3) Pada kaki salibMu kasihMu ku t'rima, Sinar Bintang Fajar terang, yang memberi cahaya. (4) SalibMu, salibMu, yang ku muliakan Hingga dalam sorga k'lak ada perhentian",https://www.youtube.com/watch?v=rHrI-9yQmzM
Sudahkah Kau Miliki Damai,Pdt. Dr. Ir. Niko Njotorahardjo,2010,Unknown,Pujian dan Penyembahan,(1) Sudah Kah Kau Miliki Damai Di Hatimu Sudah Kah Kau Miliki Suka Cita Di Hidupmu (2) Hanya Yesus Yang Sanggup Memberikan Semua Itu Jadikanlah Dia Raja Di Hidupmu Sudah Kah Kau Miliki Damai Di Hatimu Sudah Kah…,https://www.youtube.com/watch?v=5N9wxsZ8Ve8 
Bila Kurenungkan,Maria Shandi,2016,Impact Music,Pop Ballad,Bila kurenungkan kasih sayang-Mu Sungguhlah Engkau Penolongku Dan dalam naungan kepak sayap-Mu Jiwaku bersorak memuji Engkau (Reff:)Kasih setia-Mu lebih dari hidup Biar bibirku memegahkan Engkau Seumur hidupku 'kan memuji-Mu Tanganku kunaikkan demi Nama-Mu,https://www.youtube.com/watch?v=6WiXqVOIerA
SuaraMu Kudengar,Herlin Pirena,2009,Maranatha Indonesia,Hymne,(1) SuaraMu kudengar memanggil diriku supaya ku di golgota di basuh darahMu (2)Aku datanglah Tuhan padaMu dalam darahMu kudus sucikan diriku (3) Kendati ku lemah tenaga Kau beri Kau hapus aib dosaku hidupku pun bersih,https://www.youtube.com/watch?v=eGZrfbNPjrM
Tangan Tuhan,Maria Shandi,2016,Impact Music,Ballad,(1) Apa yang kau alami kini Mungkin tak dapat engkau mengerti Cobaan yang engkau alami Tak melebihi kekuatanmu (2) Tuhanmu tak akan memberi Ular beracun pada yang minta roti Satu hal tanamkan di hati Indah semua yang Tuhan bri (3) Tangan Tuhan sedang merenda Suatu karya yang agung mulia Saatnya ‘kan tiba nanti Kau lihat pelangi kasihNya,https://www.youtube.com/watch?v=vgnl87_aN7A 
Bapa Yang Kekal,Nikita,2007,Maranatha Indonesia,Ballad,(1) Kasih yang sempurna telah kuterima dariMu bukan karena kebaikanku (2) Hanya oleh kasih karuniaMu Kau pulihkan aku layakkan ku tuk dapat memanggilMu Bapa (3) Kau b'ri yang ku pinta saat ku mencari ku mendapatkan (4) Ku ketuk pintuMu dan Kau bukakan s'bab Kau Bapa ku Bapa yang kekal (5) Takkan Kau biarkan aku melangkah sendirian Kau selalu ada bagiku s'bab Kau Bapa ku Bapa yang kekal,https://www.youtube.com/watch?v=0Z_k2966LVU 
Kupercaya JanjiMu,Maria Shandi,2012,Impact Music,Ballad,Saat Ku hancur hatiKu datang padaMu Kau beri kekuatan dan b'ri penghiburan Saat tak seorangpun dapat kuandalkan Kau yang memberi jalan Kau yang menuntunku * Saat ku tak mengerti Dalam hidup ini Namun firmanMu selalu menerangiku Engkau yang buatku kuat lewati semua Engkau pertolonganku Tempat harapanku (Reff :) Tuhan... kupercaya janjiMu Dalam hidupku Kau b'ri kemenangan. Tuhan... kau s'lalu setia Didalam hidupku Kau berharga bagiku Kaulah jaminanku Dalam hidupku (Back to *) (Back to Reff 2x) Kau berharga bagiku Kaulah jaminanku Dalam hidupku Kupercaya Janjimu Ya Tuhan... ,https://www.youtube.com/watch?v=y3ASu1durxE
Langit Bumi Pujilah Tuhan,Pdt. Dr. Ir. Niko Njotorahardjo,2010,Maranatha Indonesia,Pujian dan Penyembahan,"Langit dan bumi pujilah Tuhan Sebab Dia ciptakan s'muanya KeagunganNya mengatasi langit bumi Sembah sujud di hadapanNya. Kupuji kusembah, kupuji kusembah Yesus Kristus Sang Penebusku Kupuji kusembah, kupuji kusembah Yesus Tuhan dan Rajaku Halleluya amin, Halleluya amin Halleluya amin, Halleluya amin Halleluya amin",https://www.youtube.com/watch?v=7J4sxrOXZD4
Tak Terukur KasihMu Yesus,Symphony Worship,2019,Symphony Worship,Ballad,TAK TERUKUR KASIHMU YESUS KAU T'LAH MATI GANTIKAN DIRIKU KAU CURAHKAN DARAHMU 'TUK TEBUS DOSAKU. LAYAKLAH KAU TUHAN DIPUJI DAN DISEMBAH DENGAN SEGENAP HATIKU LAYAKLAH KAU TUHAN DIPUJI DAN DISEMBAH DENGAN SEG'NAP JIWA RAGAKU,https://www.youtube.com/watch?v=jYcgs8RDsdI
Yesus Kekasih Jiwaku,Yehuda Singers,2015,Maranatha Indonesia,Pujian dan Penyembahan,YESUS KEKASIH JIWAKU SUNGGUH KUPERCAYA PADAMU KARENA KASIHMU PADAKU KAU TEBUS DOSAKU. DARI TERBITNYA MATAHARI DAN SAMPAI TERBENAMNYA KUANGKAT LAGU PUJIAN TINGGIKAN NAMAMU DENGAN GENDANG KUPUJI-KUPUJI DENGAN KECAPI OH OH OH OH OH KUBERNYANYI ALLELUIA YESUS KEKASIHKU KUBERNYANYI ALLELUIA YESUS KEKASIHKU,https://www.youtube.com/watch?v=fUMCJ5mUAGY 
Tuhan Adalah Gembalaku,Hosana Singers,2010,Maranatha Indonesia,Rohani,Tuhan adalah gembalaku takkan kekurangan aku Dia membaringkan aku di padang yang berumput hijau Dia membimbingku ke air yang tenang Dia menyegarkan jiwaku Dia menuntunku ke jalan yang benar oleh karena namaNya sekalipun aku berjalan dalam lembah kekelaman aku tidak takut bahaya sebab Engkau besertaku GadaMu dan tongkatMu itulah yang menghibur aku sekalipun aku berjalan dalam lembah kekelaman dan akupun akan diam dalam rumah Tuhan sepanjang masa,https://www.youtube.com/watch?v=4K6zTDa49c8
Aku Tak Berdaya,Putri Siagian,2023,Gloria Musik,Ballad,"Kala mentari berubah merah..Dan awan gelap menutupi jagat raya..Ada hati yang menjerit Mengharapkan kasih sayang- Mu...Diantara beban hidup yang kiat berat...Dan tantangan hidup yang semakin menyerang..Ku cari kuasa-Mu.. ku cari.. Kucari didalam doa. Lihatlah getir hatiku Tuhan...Kusebut dan kusebut namaMu ya bapa...Ku ketuk dan kuketuk didalam namaMu ..Ya Tuhan .. hanya didalam namaMu..Dan tiada yang dapat memberikan kelegaan..Didalam kebimbangan menghimpit dihatiku Tak berdaya Tuhan...Pegang tanganku dan berjalanlah .. Kau didepanku selalu ..Agar didalam setiap langkah ..Aku tahu Tuhan,... Engkau besertaku....Agar didalam setiap langkah ..Aku tahu Tuhan,... Engkau besertaku",https://www.youtube.com/watch?v=GSjTKVZV8XI
Sungguh Indah Kau Tuhan,Viona Paays,2010,Maranatha Indonesia,Pujian dan Penyembahan,kucari wajahMu temukan kasihMu Kau bukan Tuhan yang jauh dariku kupanggil namaMu kudengar jawabMu Kau Tuhan yang s'lalu dengar seruan hatiku. Sungguh indah Kau Tuhan penuh kasih dan sayang Kau tempat penghiburan bagi setiap hati yang terluka. Sungguh indah Kau Tuhan menara perlindungan Kau sumber kekuatan bagi semua orang yang membutuhkan,https://www.youtube.com/watch?v=456LvXGT0AQ
Sejauh Doa,Gretha Sihombing,2016,CMP,Ballad,Bila kau rasa gelisa dihatimu Bila kalang kabut tak menentu hidupmu Ingat masih ada seorang penolong bagimu Yesus tak perna jauh darimu. Bila coban mengodai hatimu Bila sengsara menimpa keadaanmu Ingat Yesus takkan pernah jauh darimu Dia selalu pedulikan kamu. Berseruh memanggil Namanya Berdoa Diakan segra menghampiri dirimu Percaya Dia tak jauh darimu Dia hanya sejauh doa,https://www.youtube.com/watch?v=-2gVf1mVwXE
Kami Perlu Kau Tuhan,Rany Simbolon,2020,Sion Production,Ballad,Kemanakah kami mencari Kasih sejati Kemanakah kami berseru Saat badai datang menderu Yang kami tahu hanya Kau yang mampu Pulihkan s’gala sesuatu Kami perlukan keajaibanMu Kami butuhkan sentuhan tanganMu Kami tak dapat berjalan sendiri Kami perlu Kau Tuhan, https://www.youtube.com/watch?v=DpAgBhRlwSU
Oleh Kuasa Darah-Mu,Putri Siagian,2023,Sion Production,Ballad,"Saat ku masuk ke hadiratMu Bawa persembahan ke tempat kudusMu Pujian ku naikkan, sembah ku berikan BagiMu Allah yang mulia Kau layakkanku menghampiriMu Melihat tahta kemuliaanMu Tuhan Pujian ku naikkan, sembah ku berikan BagiMu Allah yang mulia. Oleh kuasa darahMu, Kau telah tebus dosaku KekudusanMu melingkupiku KasihMu  mengalir  memulihkan hidupku Sungguh besar anug'rahMu, Kau s'lamatkan hidupku Ku menjadi ciptaan yang baru Oleh kuasa darahMu..",https://www.youtube.com/watch?v=LQqK5G_jFSM 
Kaulah Tuhan Penyembuhku,Ervinna,1997,Maranatha Indonesia,Pujian dan Penyembahan,Kaulah Tuhan penyembuhku Kau sembuhkan sakitku Kau berfirman dan sembuhkanku. Kau Tuhan penyembuhku Kaulah Tuhan pemulihku Kau pulihkan hidupku Kau berfirman dan pulihkanku. Kau Tuhan pemulihku,https://www.youtube.com/watch?v=CMW6w7uy-Io
Manis Kau Dengar,Hosana Singers,2010,Maranatha Indonesia,Ballad,Ya Tuhanku aku hendak bernyanyi bagiMu selama ku hidup. Ya Allahku aku hendak bermazmur bagiMu selagi ku ada. Inilah yang kurenungkan setiap waktu nyanyian pujian dan pengagungan kepadaMu. Biarlah manis Kau dengar Tuhan manis Kau dengar Tuhan dan hatiku bersuka kar'naMu,https://www.youtube.com/watch?v=vOIawYAkPZE
Sungguh Indah Kabar Mulia - Pop Rohani KK 428,"IGNITE GKI, Komunal GKI",2023,Ignite GKI,Rohani,"Sungguh indah kabar mulia Hai percayalah! Yesus Kristus tak berubah S’lama-lamanya! DarahNya tetap menghapus Dosa dan cela Ia hibur yang berduka Puji namaNya! [Chorus] Baik kemarin, hari ini S’lama-lamanya Yesus Kristus tak berubah Puji Namanya! Puji namaNya, puji namaNya! Yesus Kristus tak berubah Puji namaNya! [Verse 2] Ia cari yang berdosa Cari dikau pun Datanglah, rendahkan hati S’rahkan dirimu! Dulukala Ia sambut Orang bercela Kini dikau pun disambut DiampuniNya [Outro] Puji namaNya, puji namaNya! Yesus Kristus tak berubah Puji namaNya!",https://www.youtube.com/watch?v=GQrKj5nikhI
Yesus NamaMU Indah,Shinta Rosari,2017,Maranatha Indonesia,Pujian dan Penyembahan,Yesus namaMu indah Kau kekasih hatiku Kau dambaan jiwaku. Yesus kucinta padaMu selalu dekat padaMu itu kerinduanku. Yang kumau hanya menyenangkanMu biarlah seluruh hidupku berkenan kepadaMu bukan emas perak bahkan permata namun Kau segalanya yang terbaik didalam hidupku,https://www.youtube.com/watch?v=j9KskPwtLEg
Ku Daki Daki Gunung Yang Tinggi,Elohim Kids,2022,Elohim Ministry,Pop,[Verse 1]Ku daki daki daki daki gunung yang tinggi ku turun turun turun turun lembah yang dalam ku melintasi padang rumput hijau terbentang Yesus besertaku [Verse 2]ku terbang terbang terbang terbang luar angkasa ku selam selam selam selam dalam Samudra ku dayung dayung dayung dayung prahu di sungai Yesus besertaku [Chorus]Di kanan Kau ada Di kiri Kau ada Di atas dan di bawah Kau ada Di suka Kau ada Di dukaku Kau ada Karna Engkaulah Yesusku,https://www.youtube.com/watch?v=fO-W8zQH08E
Hanya Dekat KepadaMu,Putri Siagian,2022,Media berkat Nusantara,Ballad,Dalam segala perkara Tuhan ada bersamaku Menggenggam hidupku Memberiku ketenangan. Dalam pergumulanku Waktu Tuhan yang terbaik Bahkan lebih dari Apa yang kupikirkan. [Reff]Hanya dekat kepadaMu Jiwaku aman di dalamMU Kau yang membuka jalanku Menuntunku ke rencanaMU Karena kasihMu oh Tuhan Hidupku aman di dalamMu Kau yang membuka jalanku Menuntunku kedalam rencanamu Tuhan,https://www.youtube.com/watch?v=C1--5a7YQoM
Jika Padaku Ditanyakan - Pop Rohani KK 552,"IGNITE GKI, Komunal GKI",2023,Ignite GKI,Pop,"Jika padaku ditanyakan apa akan kub’ritakan pada dunia yang penuh penderitaan, ‘kan kusampaikan kabar baik pada orang-orang miskin, pembebasan bagi orang yang ditawan; yang buta dapat penglihatan,yang tertindas dibebaskan; sungguh tahun rahmat Tuhan sudah tiba. K’rajaan Allah penuh kurnia itu berita bagi isi dunia. Jika padaku ditanyakan apa akan kusampaikan pada dunia yang penuh dengan cobaan, aku bersaksi dengan kata, tapi juga dengan karya menyampaikan kasih Allah yang sejati. T’lah tersedia bagi kita pengampunan dan anug’rah, kes’lamatan dalam Kristus, PuteraNya. K’rajaan Allah penuh kurnia itu berita bagi isi dunia. K’rajaan Allah penuh kurnia itu berita bagi isi dunia. K’rajaan Allah penuh kurnia itu berita bagi isi dunia.(2x) Jika padaku ditanyakan apa akan kub’ritakan pada dunia yang penuh penderitaan, ‘kan kusampaikan kabar baik pada orang-orang miskin, pembebasan bagi orang yang ditawan; yang buta dapat penglihatan, yang tertindas dibebaskan; sungguh tahun rahmat Tuhan sudah tiba. K’rajaan Allah penuh kurnia itu berita bagi isi dunia. K’rajaan Allah penuh kurnia itu berita bagi isi dunia.",https://www.youtube.com/watch?v=K8QSuzT2-r8 
Yesus Kami Puja,"Yeshua Abraham, Ryan Hadiutomo",2022,Unknown,Ballad,"Yesus, kami puja Kami sembah s'bagai Raja Berdiri di tengah kami Ditinggikan dan dipuji [Reff:]Sembah dan puji, p'nuhi tahtaMu Sembah dan puji, p'nuhi tahtaMu Sembah dan puji, p'nuhi tahtaMu Yesus Tuhan adalah Raja",https://www.youtube.com/watch?v=J_veVMsUNK0
Tenanglah Kini Hatiku,Franky Pangkerego,2011,Maranatha,Hymne,Tenanglah kini hatiku Tuhan menuntun langkahku Di saat susah dan senang Tuhan memegang tanganku [Chorus] Tuhanlah yang menuntunku Tanganku dipegang teguh Hatiku berserah penuh Tanganku dipegang teguh,https://www.youtube.com/watch?v=sO15a85SFW0
Pegang Terus Tangan Ini Tuhan,Putri Siagian,2023,Gloria Musik,Penyembahan,Didalam pergumulan hidup ini Di dalam kesesakan jiwa ini Tuhan slalu hadir tiap waktu Bawa suka cita yg baru Disaat hati ini mulai goyah Di saat Imanku mulai Lemah Engkau slalu datang saat Bersama kasih Mu yg Ajaib.. [Reff] Jangan biarkan aku Tuhan Jangan tinggalkan aku Bapa.. Sebab aku tak akan sanggup hidup Jika tanpa kasih mu Bapa Pegang trus tangan ini Tuhan Peluk dan jaga trus diriku Ku yakin semua JanjiMu Tuhan Indah pada waktunya,https://www.youtube.com/watch?v=dzJLBgB61dA
Mari Masuk,Franky Pangkerego,2011,Maranatha,Hymne,"Mari masuk, mari masuk Masuk hatiku, ya Yesus Datang s’karang, datang tinggal Dalam hatiku, ya Yesus",https://www.youtube.com/watch?v=pNLDy6Oy27I
Allah Yang Kita Sembah,Yehuda Singers,2009,Maranatha,Hymne,Allah yang kita sembah Allah yang maha kuasa M’laikat tunduk diri Surga bumi puji Allah yang maha kuasa.,https://www.youtube.com/watch?v=EFwP39YkX6g
Tenang Bersama-Mu,Eldhy Victor,2025,EVT Music Pro,Ballad,*Saat ku terjatuh Ada tangan-Mu menopang Kau angkatku Kembali Berjalan bersama-Mu **Meski ku tak mampu Namun kau percaya padaku Saat aku tak percaya lagi Akan diriku sendiri [Reff] Hanya diri-Mu yang tahu sedalam hatiku Kau mengenal pribadiku lebih dari siapapun Tuhan kau paling mengerti apa yang ku alami Seluruh Hidupku dan jiwakau tenang saat bersama-Mu[Bridge] Berulang kali kau memanggilku Namun ku lari dari-Mu,https://www.youtube.com/watch?v=vGsdRWnx2yw
Tak Tersembunyi Kuasa Allah,Nikita,2010,Maranatha Indonesia,Hymne,Tak tersembunyi kuasa Allah kalau lain ditolong saya juga tanganNya terbuka menunggulah tak tersembunyi kuasa Allah,https://www.youtube.com/watch?v=qSYz5jntYYA 
Tuhan Tak Pernah Mengecewakan,Regina Pangkerego,2022,Sion Production,Ballad,Jika kepahitan hidup menyerang Yakinlah bahwa masih banyak orang Yang bekerja untuk kebaikan Demi merajut dunia baru Dalam kerendahan hati mereka Percayalah pada kebenaran Yang paling mulia dan terindah dan percayalah bahwa Tuhan Sedang mengantarkan segalanya Menuju pelukan kasih-Nya yang suci Tuhan tak pernah mengecewakan Dia setia dengan janji-Nya Dia ingin benih yang ditanam-Nya Untuk mekar dan berbuah Dia telah menitipkan segelintir kebenaran Untuk semua manusia..,https://www.youtube.com/watch?v=BRXQCwf5kW4&list=RD6Mgjcn1ilHg&start_radio=1
Sentuh Hatiku,Nathasya Gracia Stefani,2023,IWO,Pop Kontemporer,"[Verse 1] Betapa kumencintai Segala yang t'lah terjadi Tak pernah sendiri jalani hidup ini Selalu menyertai [Verse 2]Betapa kumenyadari Di dalam hidupku ini Kau s'lalu memberi rancangan terbaik Oleh karena kasih [Chorus]Bapa sentuh hatiku, ubah hidupku Menjadi yang baru Bagai emas yang murni Kau membentuk bejana hatiku Bapa ajarku mengerti sebuah kasih Yang selalu memberi Bagai air mengalir Yang tiada pernah berhenti",https://www.youtube.com/watch?v=l1P7c_TU-FY
Sujud di Altar-Nya,Nathasya Gracia Stefani,2023,IWO,Gospel,"[Verse]Bila hati terasa berat tak seorang pun mengerti bebanku Ku tanya Yesus apa yang harus ku buat Dia berfirman Mari datanglah, Dia selalu pedulikan aku Ku datang Yesus Dia pikul s'gala bebanku [Chorus]Sujud di altarNya ku bawa hidupku Ku t'rima anug'rahNya Dia ampuniku dan bebaskanku Dia ubah hidupku barui hatiku Sesuatu terjadi saat datang di altarNya",https://www.youtube.com/watch?v=uXagmlXkkkE
Jadikan Aku Pelangi,Putri Siagian,2022,Media Berkat Nusantara,Pujian dan Penyembahan,Berliku-liku kehidupan ini Jalan mana yang harus kulalui Rintangan dan cobaan s'lalu membayangi Bila kuingin datang pada Mu Kulayangkan pandang diawan-awan Sejenak anganku bertanya-tanya Dapatkah hati ini bagaikan pelangi Setiap saat pancarkan damai. Tuhan berikanlah kuasaMu Jadikan aku pelangiMu Kelak kan dapat menerangi Kegelapan Bumi Tuhan peganglah tanganku ini Bila mendaki bukit terjal Janganlah diombang-ambingkan Iman percayaku Karna kasihMu Tuhan Aku dislamatkan Karna KasihMu Tuhan Ada pengampunan,https://www.youtube.com/watch?v=5w7h2chq1_4
Ku Daki Jalan Mulia,Caroline Anggiat,2019,Ignite Live Jakarta,Hymne,"Kudaki jalan mulia;tetap doaku inilah: Ke tempat tinggi dan teguh,Tuhan, mantapkan langkahku! Ya Tuhan, angkat diriku lebih dekat kepada-Mu; di tempat tinggi dan teguh, Tuhan, mantapkan langkahku! Ku tidak mau menetap di dalam bimbang dan gelap; rinduanku, tujuanku: tempat yang tinggi dan teguh. Ya Tuhan, angkat diriku lebih dekat kepada-Mu; di tempat tinggi dan teguh, Tuhan, mantapkan langkahku! Ingin kucapai puncak-Mu, Tempat yang agung cemerlang Ya Tuhan bimbing aku Makin dekat kepada-Mu Ya Tuhan, angkat diriku lebih dekat kepada-Mu; di tempat tinggi dan teguh, Tuhan, mantapkan langkahku!",https://www.youtube.com/watch?v=qEAqid7Hhos
Selidiki Aku,Nathasya Gracia Stefani,2023,IWO,Pujian dan Penyembahan,Selidiki aku Lihat hatiku Apakah `ku sungguh mengasihi-Mu Yesus Kau yang Maha Tahu Dan menilai hidupku Tak ada yang tersembunyi bagi-Mu [Chorus]T’lah kulihat kebaikan-Mu Yang tak pernah habis di hidupku Kuberjuang sampai akhirnya Kau dapati aku tetap setia,https://www.youtube.com/watch?v=yxyPj3ic7gg
Bertobatlah,Rendy Aprillio,2020,Unknown,Pujian dan Penyembahan,Bertobatlah dan balik pada Bapa Dia tunggu kau dengan kesetiaanNya Tuhan siap mengampuni dosamu Oh baliklah pada Bapa [Reff]Oh baliklah pada Bapa Jangan lambat hai sobatku Tuhan tunggu kepadamu Oh baliklah pada Bapa,https://www.youtube.com/watch?v=9f9EQTgDMl0
Kau Yang Terbaik,"Maria Calista, Michael Joe",2017,Impact Music,Pujian dan Penyembahan,Ku melupakan yang dibelakangku Kuserahkan diriku hanya padaMu Yesus Dan kuberlari kepada tujuanku Kau b’riku hari yang baru Yang lama tlah berlalu [Reff]RencanaMu oh Tuhan Indah bagiku tak terbatas oleh pikiranku FirmanMu ya dan amin Sumber kekuatan Kau pengharapanku Kau terbaik bagiku,https://www.youtube.com/watch?v=m0H6xRPO1p8
Tuhan Hadir,Maranatha Singers,2014,Maranatha,Pujian dan Penyembahan,Masuk hadiratNya dengan hati bersyukur Masuk gerbangNya dengan pujian Bermazmurlah bagi Dia Nyanyikan nyanyian baru Bersukacita skarang Menyembah Dia Masuk hadiratNya dengan hati bersyukur Masuk gerbangNya dengan pujian Bermazmurlah bagi Dia Nyanyikan nyanyian baru Bersukacita skarang Tinggikan Dia Saat hati bersyukur dan Jiwa pun bersuka Hadirat Allah nyata Dalam pujian Saat kami menyembah Dan tanganpun terangkat Tuhan hadir dalam pujian umatnya,https://www.youtube.com/watch?v=4dxc1GS-z9o 
Tercurah Darah Tuhanku - Pop Rohani KK 242 - Live,"IGNITE GKI, KDM GKI GS",2024,Ignite GKI,Hymne,"[VERSE 1]Tercurah darah Tuhanku di bukit Golgota;yang mau bertobat, ditebus, terhapus dosanya,terhapus dosanya, terhapus dosanya yang mau bertobat, ditebus, terhapus dosanya. [VERSE 2]Penyamun yang di sisi-Nya di b'ri anugerah; pun aku yang penuh cela dibasuh darahNya, dibasuh darah-Nya,dibasuh darah-Nya, pun aku yang penuh cela dibasuh darah-Nya. [VERSE 3] Ya Anakdomba, darah-Mu tak hilang kuasanya, sehingga s'lamat umat-Mu dan suci s'lamanya, dan suci s'lamanya, dan suci s'lamanya, sehingga s'lamat umat-Mu dan suci s'lamanya. [BRIDGE]Darah Yesus Tlah Tercurah Ku Ditebus Dipulihkan [VERSE 4] Dan jika nanti lidahku tak lagi bergerak, tetap kupuji kuasa-Mu di sorga-Mu kelak, di sorga-Mu kelak, di sorga-Mu kelak, tetap kupuji kuasa-Mu di sorga-Mu kelak",https://www.youtube.com/watch?v=XadXZW1YRsk
